neighbourhood_cleansed,chars,reviews,words_per_review,positivity,subjectivity,stars
Allerton,185800,456,74.9429824561,66.2443446349,77.9753025191,4.52510964912
Arden Heights,9311,24,72.9583333333,71.8008212277,81.7975437806,4.96458333333
Arrochar,4186,12,64.5833333333,75.6803196803,84.7486184726,4.925
Arverne,196039,495,72.296969697,69.1747304551,80.0533341863,4.73696969697
Astoria,2816161,7038,71.8931514635,67.841090402,79.0787394834,4.63462631429
Bath Beach,13170,26,81.9615384615,68.3880763182,76.2505884873,4.87884615385
Battery Park City,221157,563,70.5559502664,70.0334599728,80.0458698025,4.66607460036
Bay Ridge,225530,522,78.7835249042,68.8139257798,79.9255325893,4.66724137931
Bay Terrace,15953,43,64.7674418605,67.452760884,78.2078182656,4.70930232558
"Bay Terrace, Staten Island",2045,6,63.0,68.6270998677,82.0399801587,4.5
Baychester,1857,1,349.0,56.476746633,79.0698653199,3.0
Bayside,16055,57,50.9473684211,68.6192721914,79.2324934284,4.46140350877
Bayswater,23949,61,73.5573770492,68.6762162276,80.0508882887,4.54672131148
Bedford-Stuyvesant,12169530,28302,76.9798247474,67.4988670533,78.7409856544,4.56187018585
Belle Harbor,962,1,174.0,67.3166666667,75.7458333333,5.0
Bellerose,12521,33,70.8181818182,67.6897751089,79.8215075175,4.2
Belmont,21064,85,46.4,69.1501632553,79.2030439897,4.39764705882
Bensonhurst,86858,246,62.4512195122,66.6530579057,77.9284614363,4.57642276423
Bergen Beach,13484,23,110.043478261,67.50606415,81.8630891944,4.51956521739
Boerum Hill,841389,1866,79.6130760986,69.3349342398,80.0232288533,4.72826902465
Borough Park,194255,611,57.8412438625,66.2834319479,78.2118037502,4.26391162029
Briarwood,91095,251,64.7211155378,68.131056832,78.8287277373,4.73545816733
Brighton Beach,107070,288,62.0486111111,67.3750746107,78.2523358618,4.62048611111
Bronxdale,16861,33,91.7272727273,68.6873271729,79.3450325189,4.8803030303
Brooklyn Heights,634077,1425,79.0554385965,69.8182737232,80.3700524181,4.7041754386
Brownsville,107176,275,71.0254545455,68.0881663852,79.6891451677,4.48090909091
Bushwick,6451551,16061,72.4318535583,67.9859651379,79.3821093578,4.57791407223
Cambria Heights,20241,41,91.5853658537,68.0190123418,80.0607955101,4.6487804878
Canarsie,341953,711,86.641350211,66.8111009957,78.0329871527,4.55428973277
Carroll Gardens,648224,1617,71.0871985158,69.7930772572,80.7120233909,4.697711812
Castleton Corners,24133,47,93.9574468085,67.5342669684,78.6947798107,4.7329787234
Chelsea,5625728,13774,73.3781036736,69.00675627,79.7814407207,4.63966531146
Chinatown,1848562,4475,74.342122905,68.1773397836,79.4263816989,4.54570949721
City Island,80177,147,99.5170068027,68.1576204213,79.9144085183,4.81836734694
Civic Center,97852,268,65.1791044776,68.5477431653,79.1576961028,4.63936567164
Claremont Village,78737,210,68.9714285714,68.1092866142,78.7405844908,4.61404761905
Clason Point,16228,36,83.1111111111,67.5277974196,80.2475915348,4.65
Clifton,75738,157,84.6305732484,65.1916679296,78.2433496077,4.73248407643
Clinton Hill,2710527,6409,75.1619597441,69.0394711989,80.0762954154,4.65134207241
Co-op City,10423,27,73.8148148148,67.2222544699,79.2559698618,4.77777777778
Cobble Hill,420172,1001,74.5194805195,70.7569544137,81.1407843462,4.75594405594
College Point,7682,20,68.9,70.959082639,81.3763689245,4.95
Columbia St,184364,411,80.2506082725,67.7450001939,79.3115217468,4.53600973236
Concord,46896,154,56.1948051948,70.0873655104,80.5096384834,4.63961038961
Concourse,174327,397,80.0453400504,66.7301097429,78.7990008922,4.56662468514
Concourse Village,90200,166,98.156626506,64.9901480645,78.5701308924,4.25210843373
Coney Island,21587,84,47.2976190476,70.7824030691,81.3965639864,4.62916666667
Corona,119872,362,60.2817679558,66.8163378807,78.2754725313,4.49930939227
Country Club,8347,30,51.6,69.4131768168,80.7507196687,4.85
Crown Heights,5105273,11861,77.0893685187,68.104650029,79.3683452658,4.60349464632
Cypress Hills,255805,606,76.1468646865,67.5350071252,78.6710382729,4.51163366337
DUMBO,154381,368,75.2418478261,70.6698377267,80.6988220128,4.75625
Ditmars Steinway,909797,2328,70.2405498282,67.7532884189,78.8872016324,4.62046821306
Dongan Hills,2512,10,43.9,76.3390546086,83.3510361552,5.0
Downtown Brooklyn,267957,654,73.1712538226,69.3701296855,80.377486771,4.65191131498
Dyker Heights,62105,135,85.837037037,68.0274919295,80.7425519169,4.29740740741
East Elmhurst,396065,1059,67.2077431539,67.2467707488,78.4898588747,4.67478753541
East Flatbush,772343,1871,74.9492250134,67.6841024171,79.5185663732,4.51285408872
East Harlem,5483426,12839,76.4674040034,66.1521272478,77.2128505193,4.49525627045
East Morrisania,8927,13,119.384615385,63.5941749059,77.0933955458,4.23076923077
East New York,396571,910,79.2626373626,66.2917467937,78.576747981,4.49692307692
East Village,11820487,28959,73.5355847923,68.7800401396,79.7413918989,4.5838444007
Eastchester,13888,38,66.8684210526,66.8886502478,78.5620995496,4.76184210526
Elmhurst,264638,728,63.2184065934,66.0874815965,77.4749845046,4.53317307692
Eltingville,14122,44,58.7727272727,70.9994038478,80.5590744866,4.8
Emerson Hill,21134,60,63.75,65.8089226621,76.8916408097,4.44
Far Rockaway,22230,61,68.5573770492,66.6308977706,78.4683966466,4.62295081967
Fieldston,1684,8,39.125,72.247067776,80.2975709476,4.8875
Financial District,822543,2045,71.8572127139,69.743266455,79.921812588,4.73547677262
Flatbush,1606079,3888,74.0951646091,68.4693458004,79.6202566415,4.63353909465
Flatiron District,375312,917,73.4143947655,69.9379550701,80.2680953944,4.72470010905
Flatlands,87324,226,69.2920353982,66.1602380625,78.5340109159,4.53761061947
Flushing,589576,1773,58.9385222786,67.0033220767,77.8701489212,4.54027072758
Fordham,34789,98,63.8367346939,68.3896143281,80.0367031485,4.76275510204
Forest Hills,245333,616,71.5762987013,68.4604730389,79.3690495643,4.5838474026
Fort Greene,2589416,6104,75.7023263434,69.3102732702,80.1905988103,4.69034239843
Fort Hamilton,76414,176,78.0795454545,68.3924773906,79.043252022,4.60454545455
Fresh Meadows,4581,13,65.3846153846,70.3067495741,79.4940893411,4.53846153846
Gerritsen Beach,19059,30,116.166666667,64.1395823567,76.0729443956,4.25
Glendale,39485,78,92.7307692308,69.1226043014,80.0645701944,4.89230769231
Gowanus,817699,1903,76.4797687861,68.8543659929,79.6730465671,4.68344718865
Gramercy,1295158,3206,72.350904554,69.0110756831,79.7563392142,4.63916094822
Graniteville,32380,70,83.6285714286,68.1299790258,80.2973528743,4.66
Gravesend,29498,88,61.375,69.240093876,79.0322682581,4.76875
Great Kills,5033,8,114.625,66.7553299999,78.4540234071,5.0
Greenpoint,3121325,7720,72.581865285,69.9403661056,80.7178514352,4.70643134715
Greenwich Village,2371377,5623,75.6270674017,69.2249910122,80.0527708702,4.60074693224
Grymes Hill,4956,12,76.5,70.3519611736,82.4139425565,4.90833333333
Harlem,11274745,26742,75.5744521726,67.193402453,78.0615110964,4.59985790143
Hell's Kitchen,8265853,19833,74.7989714113,67.5147633987,78.258662371,4.55290929259
Highbridge,44864,137,59.5182481752,70.2655226191,81.0516929115,4.69744525547
Hollis,7676,17,78.5882352941,67.2449985564,77.778381183,3.98235294118
Hollis Hills,6219,14,77.2857142857,66.5298711599,77.3414701949,4.8
Holliswood,1285,3,68.6666666667,61.2777777778,70.9555555556,4.66666666667
Howard Beach,4953,12,75.3333333333,62.5570831079,72.520861517,4.25
Hunts Point,1213,5,45.0,69.3392676768,76.1802308802,4.4
Inwood,842110,1827,83.7597153804,67.0016072804,78.335054664,4.54961685824
Jackson Heights,656256,1730,68.9601156069,67.3198435025,78.845615288,4.55731213873
Jamaica,252105,811,57.2379778052,66.8880078698,79.0361172556,4.4545622688
Jamaica Estates,34952,82,77.1463414634,67.3705965128,79.0978977028,4.41341463415
Jamaica Hills,3564,10,68.6,70.1318948413,83.7074845679,4.0
Kensington,346397,831,75.8736462094,68.7397763621,79.7204966281,4.68237063779
Kew Gardens,80472,255,57.2941176471,67.7904024605,79.7271174222,4.52098039216
Kew Gardens Hills,27965,63,79.253968254,66.4782788111,77.6495430358,4.4246031746
Kingsbridge,40522,99,75.1616161616,70.8864788478,80.6619207089,4.65252525253
Kips Bay,1593493,4019,70.8887783031,68.1258136454,78.8373292125,4.55945508833
Laurelton,16324,44,67.9772727273,69.1067913837,80.3696182497,4.45909090909
Lighthouse Hill,3569,11,59.5454545455,72.1607183852,81.2259018759,4.65
Little Italy,484155,1177,73.7621070518,67.8654245042,79.6197353395,4.52621070518
Long Island City,2199915,5062,78.3117344923,67.341452146,78.6951420275,4.59401422363
Longwood,69308,159,76.2641509434,67.1362435166,78.6594326036,4.60503144654
Lower East Side,6088442,14713,74.4170461497,68.6101737027,79.5630560636,4.57865832937
Manhattan Beach,24051,61,66.0,66.6772913994,78.4414916294,4.82295081967
Marble Hill,39026,79,90.2658227848,67.2683453729,79.522362353,4.88987341772
Mariners Harbor,58422,136,76.2426470588,68.3325008124,79.3225616347,4.75367647059
Maspeth,149255,392,68.375,66.1655011836,78.2882207842,4.46262755102
Melrose,17893,48,66.1875,67.0795141285,79.3108871621,4.14479166667
Middle Village,72928,174,75.4137931034,66.6265421375,78.9446208232,4.65316091954
Midland Beach,13050,36,66.4722222222,67.6787429254,82.1508136567,4.5125
Midtown,4185720,10485,71.1370529328,67.8540031412,78.3466032385,4.59154029566
Midwood,201691,490,70.8367346939,67.8089991909,78.3379533814,4.65214285714
Mill Basin,186,2,21.0,70.2253787879,81.5151515152,4.0
Morningside Heights,742916,1900,70.1894736842,68.1722864999,79.0397267887,4.58707894737
Morris Heights,41838,102,74.6862745098,66.3401900854,77.0511327654,4.43578431373
Morris Park,64199,209,56.3732057416,67.8878813145,79.7912185057,4.41076555024
Morrisania,9912,34,54.2647058824,65.2103598296,75.9402994003,4.09117647059
Mott Haven,237995,495,85.9717171717,67.4034222772,78.5079665204,4.70838383838
Mount Hope,35571,95,68.9789473684,68.2636894501,80.4067053831,4.67842105263
Murray Hill,882540,2201,72.1790095411,67.9686313798,79.0245436256,4.558973194
Navy Yard,17647,43,73.3023255814,70.1971604096,82.1325388354,4.72790697674
Neponsit,3481,9,70.8888888889,70.267084584,80.1389472527,5.0
New Brighton,51121,110,85.7272727273,66.2213154059,79.5653698664,4.33909090909
New Dorp Beach,12287,39,59.4615384615,69.5574094681,80.3419041693,4.66153846154
New Springville,11024,24,84.3333333333,70.5542385136,81.7502793532,4.76041666667
NoHo,596701,1463,73.2809295967,69.4996191509,79.9071454718,4.60372522215
Nolita,1064096,2762,68.5727733526,69.7489982106,80.2069445228,4.64210716872
North Riverdale,24149,70,64.4428571429,67.4913598695,79.5091891075,4.69714285714
Norwood,42212,127,61.0393700787,68.250113849,79.3732764306,4.75669291339
Oakwood,43432,92,84.2934782609,66.885766816,78.7528060695,4.54565217391
Ozone Park,106995,283,67.7137809187,68.0979333696,78.7584612098,4.76272084806
Park Slope,2328777,5617,74.2300160228,69.6374466792,80.4747744864,4.70240384615
Parkchester,74949,191,73.9633507853,67.2198372397,78.3108743819,4.49842931937
Pelham Bay,30182,84,66.8452380952,67.2314513649,78.9705901536,4.3875
Pelham Gardens,35707,98,66.7653061224,68.5308569628,80.4619304727,4.78928571429
Port Morris,86082,180,86.4555555556,67.4422558883,77.9372625683,4.64222222222
Port Richmond,1726,5,66.0,64.4537902661,78.0978031954,4.6
Prospect Heights,1640513,3894,74.8662044171,69.2592749035,79.8326033506,4.65775552131
Prospect-Lefferts Gardens,1621904,3794,76.8479177649,67.5974864806,79.2670782431,4.58716394307
Queens Village,67787,181,69.591160221,68.9639717646,80.1807145002,4.66436464088
Randall Manor,47561,115,76.1043478261,68.3806906933,80.5356913154,4.49652173913
Red Hook,227165,504,81.9563492063,68.753681809,79.0591363297,4.61994047619
Rego Park,135984,357,67.3389355742,69.0941371538,79.8037042377,4.73991596639
Richmond Hill,243140,644,68.6739130435,67.3012265237,79.3836000371,4.64440993789
Richmondtown,2412,7,66.1428571429,64.2434704185,74.7201201576,4.55
Ridgewood,1050380,2675,70.774953271,68.078957734,78.9863830452,4.58786915888
Riverdale,50565,142,65.6690140845,67.5933488166,80.1834732174,4.81373239437
Rockaway Beach,36551,130,51.1615384615,71.7820087518,82.8142348754,4.71769230769
Roosevelt Island,220407,512,78.001953125,68.101110519,79.4818867164,4.6037109375
Rosebank,1148,4,48.0,65.8854166667,75.4875,4.75
Rosedale,23143,59,74.593220339,68.5726584448,79.291798453,4.61271186441
Schuylerville,818,2,71.0,69.2176470588,76.818627451,5.0
Sheepshead Bay,115260,295,70.9288135593,68.569233714,79.1916557171,4.65033898305
Shore Acres,42450,79,98.8987341772,66.3607596818,77.6793697181,4.59556962025
Silver Lake,4677,16,52.4375,70.8439350618,81.9384359268,4.875
SoHo,2048672,4996,73.6146917534,69.2756996526,79.8450276947,4.62227782226
Soundview,23124,51,82.8431372549,65.8371435262,77.0616604627,4.68333333333
South Beach,14547,50,53.96,67.753572561,78.6435710995,4.539
South Ozone Park,58594,152,72.3881578947,66.6156676902,78.8666474139,4.35
South Slope,1343327,3142,76.6995544239,69.4592738635,80.3941857017,4.7223742839
Springfield Gardens,58682,219,49.7579908676,66.98811999,78.8550509726,4.35776255708
Spuyten Duyvil,5472,19,52.8947368421,72.0620353644,81.9826642986,4.55263157895
St. Albans,107486,265,74.6603773585,68.3408130299,80.1860677293,4.55660377358
St. George,230002,477,87.9412997904,66.3226677737,78.2841693413,4.58700209644
Stapleton,27128,71,70.1267605634,67.1722620453,79.1663842574,4.76056338028
Stuyvesant Town,412408,1031,71.8952473327,69.0910890996,79.5785221105,4.62192046557
Sunnyside,733963,1742,75.6383467279,67.9123646372,79.0711432171,4.70674512055
Sunset Park,747652,1823,73.970378497,67.311008067,78.7988984042,4.53869994515
Theater District,773363,1906,72.888772298,68.2094653561,78.3640805415,4.61865162644
Throgs Neck,4114,10,77.4,71.6040038737,82.5293133949,4.92
Todt Hill,4740,12,72.9166666667,67.7213631854,77.2634579926,4.91666666667
Tompkinsville,110212,253,78.0395256917,67.5799676025,79.6008370562,4.59664031621
Tottenville,5315,13,72.9230769231,75.5449895864,85.3227570282,4.85
Tremont,10336,28,67.2142857143,66.2223715982,76.4936188426,4.60535714286
Tribeca,437974,1060,73.8169811321,69.6195890137,80.1990698526,4.74070754717
Two Bridges,242483,602,72.4235880399,67.5994893406,78.5105683287,4.61171096346
Unionport,3714,7,98.5714285714,67.4831521353,76.2363443213,5.0
University Heights,27301,78,64.1538461538,67.3834968728,78.1417733395,4.71538461538
Upper East Side,6507871,16050,72.5490965732,67.3764105202,78.3135015807,4.55911838006
Upper West Side,7873048,18692,75.5708324417,67.949721443,78.771392091,4.63273057993
Van Nest,1460,2,120.5,63.2703182234,74.401614011,4.5
Vinegar Hill,143749,336,76.0505952381,70.5234972414,80.593329858,4.79955357143
Wakefield,7733,19,73.8947368421,66.8243416777,79.0517545561,4.68421052632
Washington Heights,2509951,6174,73.3475866537,67.5701307994,78.793038743,4.57765630062
West Brighton,2795,3,175.666666667,66.2442189755,81.4373346561,4.66666666667
West Farms,2661,5,92.0,73.905952381,84.6142857143,4.0
West Village,4131802,9789,75.585963837,69.783511473,80.5229147727,4.65895903565
Westchester Square,10129,20,94.3,66.9715386306,79.7849281621,4.31
Whitestone,672,2,59.5,73.9191468254,74.1240079365,5.0
Williamsbridge,29423,92,59.6304347826,68.7709330798,80.5733635301,4.56847826087
Williamsburg,17355340,42608,73.062805107,69.6183410148,80.3658794942,4.64990846575
Windsor Terrace,401219,980,73.0214285714,68.8822864781,80.009135573,4.67693877551
Woodhaven,135352,489,48.6175869121,67.3181858138,78.0045367859,4.60899795501
Woodlawn,38931,111,66.0900900901,68.6586280414,80.3168707285,4.61126126126
Woodside,405316,995,72.8211055276,67.4694118772,78.8646926582,4.74442211055
